
Number of variables: n = 8
GF extension exponent: l = 4
Polynomials' degree: b = 1
Total number of polynomials in file: 16
Bent functions type: PS-
Number of polynomials needed for a single function: t = 8

Function: AA55F00F33335AA5CC3366990F0F6969C3C33CC3A5A599999669555500FF0000 nl: 120 deg: 4 2-Rank: 30 Polynomials list:	p_1(X) = X 	p_2(X) = X + 1 	p_3(X) = X + 2 	p_4(X) = X + 3 	p_5(X) = X + 4 	p_6(X) = X + 5 	p_7(X) = X + 6 	p_8(X) = X + 7 
Function: A257E20F33175EA1CCA3E6910B1F5969E3833CE1E4A519D99C69155D017F0000 nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_1(X) = X 	p_2(X) = X + 1 	p_3(X) = X + 2 	p_4(X) = X + 3 	p_5(X) = X + 4 	p_6(X) = X + 5 	p_7(X) = X + 6 	p_9(X) = X + 8 
Function: AA47F20B32371EA54CB3E4990F177949E3C13C63C5A591D99A69455D01BF0000 nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_1(X) = X 	p_2(X) = X + 1 	p_3(X) = X + 2 	p_4(X) = X + 3 	p_5(X) = X + 4 	p_6(X) = X + 5 	p_8(X) = X + 7 	p_9(X) = X + 8 
Function: AA17F20723375CA5CCB1E689071F3969E2C31CE3E5A199591E69515D01DF0000 nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_1(X) = X 	p_2(X) = X + 1 	p_3(X) = X + 2 	p_4(X) = X + 3 	p_5(X) = X + 4 	p_7(X) = X + 6 	p_8(X) = X + 7 	p_9(X) = X + 8 
Function: A857D20F33355E85C8B3A6990F1B792963C334E3E52599D18E69545D01EF0000 nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_1(X) = X 	p_2(X) = X + 1 	p_3(X) = X + 2 	p_4(X) = X + 3 	p_6(X) = X + 5 	p_7(X) = X + 6 	p_8(X) = X + 7 	p_9(X) = X + 8 
Function: AA53F20D33275E258CB3C6990E1F7169E1C338E365A589D99E49551D01F70000 nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_1(X) = X 	p_2(X) = X + 1 	p_3(X) = X + 2 	p_5(X) = X + 4 	p_6(X) = X + 5 	p_7(X) = X + 6 	p_8(X) = X + 7 	p_9(X) = X + 8 
Function: 8A57720F313756A5CC93E6190F1D7961A3C32CE3E1A598D99E29554D01FB0000 nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_1(X) = X 	p_2(X) = X + 1 	p_4(X) = X + 3 	p_5(X) = X + 4 	p_6(X) = X + 5 	p_7(X) = X + 6 	p_8(X) = X + 7 	p_9(X) = X + 8 
Function: 2A57B20F13374EA5C4B3E2990D1F7869E3433CA3E58599C99E61555901FD0000 nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_1(X) = X 	p_3(X) = X + 2 	p_4(X) = X + 3 	p_5(X) = X + 4 	p_6(X) = X + 5 	p_7(X) = X + 6 	p_8(X) = X + 7 	p_9(X) = X + 8 
Function: AA56F20E33365EA4CCB2E6980F1E7968E3C23CE2E5A499D89E68555C01FE0000 nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_2(X) = X + 1 	p_3(X) = X + 2 	p_4(X) = X + 3 	p_5(X) = X + 4 	p_6(X) = X + 5 	p_7(X) = X + 6 	p_8(X) = X + 7 	p_9(X) = X + 8 
Function: E255E08FB3135AE1DC2366B12B0F4979C7833CC9ACA5199D95691557027F0000 nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_1(X) = X 	p_2(X) = X + 1 	p_3(X) = X + 2 	p_4(X) = X + 3 	p_5(X) = X + 4 	p_6(X) = X + 5 	p_7(X) = X + 6 	p_10(X) = X + 9 
Function: EA45F08BB2331AE55C3364B92F076959C7C13C4B8DA5919D9369455702BF0000 nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_1(X) = X 	p_2(X) = X + 1 	p_3(X) = X + 2 	p_4(X) = X + 3 	p_5(X) = X + 4 	p_6(X) = X + 5 	p_8(X) = X + 7 	p_10(X) = X + 9 
Function: EA15F087A33358E5DC3166A9270F2979C6C31CCBADA1991D1769515702DF0000 nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_1(X) = X 	p_2(X) = X + 1 	p_3(X) = X + 2 	p_4(X) = X + 3 	p_5(X) = X + 4 	p_7(X) = X + 6 	p_8(X) = X + 7 	p_10(X) = X + 9 
Function: E855D08FB3315AC5D83326B92F0B693947C334CBAD2599958769545702EF0000 nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_1(X) = X 	p_2(X) = X + 1 	p_3(X) = X + 2 	p_4(X) = X + 3 	p_6(X) = X + 5 	p_7(X) = X + 6 	p_8(X) = X + 7 	p_10(X) = X + 9 
Function: EA51F08DB3235A659C3346B92E0F6179C5C338CB2DA5899D9749551702F70000 nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_1(X) = X 	p_2(X) = X + 1 	p_3(X) = X + 2 	p_5(X) = X + 4 	p_6(X) = X + 5 	p_7(X) = X + 6 	p_8(X) = X + 7 	p_10(X) = X + 9 
Function: CA55708FB13352E5DC1366392F0D697187C32CCBA9A5989D9729554702FB0000 nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_1(X) = X 	p_2(X) = X + 1 	p_4(X) = X + 3 	p_5(X) = X + 4 	p_6(X) = X + 5 	p_7(X) = X + 6 	p_8(X) = X + 7 	p_10(X) = X + 9 
Function: 6A55B08F93334AE5D43362B92D0F6879C7433C8BAD85998D9761555302FD0000 nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_1(X) = X 	p_3(X) = X + 2 	p_4(X) = X + 3 	p_5(X) = X + 4 	p_6(X) = X + 5 	p_7(X) = X + 6 	p_8(X) = X + 7 	p_10(X) = X + 9 
Function: EA54F08EB3325AE4DC3266B82F0E6978C7C23CCAADA4999C9768555602FE0000 nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_2(X) = X + 1 	p_3(X) = X + 2 	p_4(X) = X + 3 	p_5(X) = X + 4 	p_6(X) = X + 5 	p_7(X) = X + 6 	p_8(X) = X + 7 	p_10(X) = X + 9 
Function: E247E28BB2171EE15CA3E4B12B175959E7813C69CCA511DD9969055F033F0000 nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_1(X) = X 	p_2(X) = X + 1 	p_3(X) = X + 2 	p_4(X) = X + 3 	p_5(X) = X + 4 	p_6(X) = X + 5 	p_9(X) = X + 8 	p_10(X) = X + 9 
Function: E217E287A3175CE1DCA1E6A1231F1979E6831CE9ECA1195D1D69115F035F0000 nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_1(X) = X 	p_2(X) = X + 1 	p_3(X) = X + 2 	p_4(X) = X + 3 	p_5(X) = X + 4 	p_7(X) = X + 6 	p_9(X) = X + 8 	p_10(X) = X + 9 
Function: E057C28FB3155EC1D8A3A6B12B1B5939678334E9EC2519D58D69145F036F0000 nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_1(X) = X 	p_2(X) = X + 1 	p_3(X) = X + 2 	p_4(X) = X + 3 	p_6(X) = X + 5 	p_7(X) = X + 6 	p_9(X) = X + 8 	p_10(X) = X + 9 
Function: E253E28DB3075E619CA3C6B12A1F5179E58338E96CA509DD9D49151F03770000 nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_1(X) = X 	p_2(X) = X + 1 	p_3(X) = X + 2 	p_5(X) = X + 4 	p_6(X) = X + 5 	p_7(X) = X + 6 	p_9(X) = X + 8 	p_10(X) = X + 9 
Function: C257628FB11756E1DC83E6312B1D5971A7832CE9E8A518DD9D29154F037B0000 nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_1(X) = X 	p_2(X) = X + 1 	p_4(X) = X + 3 	p_5(X) = X + 4 	p_6(X) = X + 5 	p_7(X) = X + 6 	p_9(X) = X + 8 	p_10(X) = X + 9 
Function: 6257A28F93174EE1D4A3E2B1291F5879E7033CA9EC8519CD9D61155B037D0000 nl: 120 deg: 4 2-Rank: 30 Polynomials list:	p_1(X) = X 	p_3(X) = X + 2 	p_4(X) = X + 3 	p_5(X) = X + 4 	p_6(X) = X + 5 	p_7(X) = X + 6 	p_9(X) = X + 8 	p_10(X) = X + 9 
Function: E256E28EB3165EE0DCA2E6B02B1E5978E7823CE8ECA419DC9D68155E037E0000 nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_2(X) = X + 1 	p_3(X) = X + 2 	p_4(X) = X + 3 	p_5(X) = X + 4 	p_6(X) = X + 5 	p_7(X) = X + 6 	p_9(X) = X + 8 	p_10(X) = X + 9 
Function: EA07F283A2371CE55CB1E4A927173959E6C11C6BCDA1915D1B69415F039F0000 nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_1(X) = X 	p_2(X) = X + 1 	p_3(X) = X + 2 	p_4(X) = X + 3 	p_5(X) = X + 4 	p_8(X) = X + 7 	p_9(X) = X + 8 	p_10(X) = X + 9 
Function: E847D28BB2351EC558B3A4B92F13791967C1346BCD2591D58B69445F03AF0000 nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_1(X) = X 	p_2(X) = X + 1 	p_3(X) = X + 2 	p_4(X) = X + 3 	p_6(X) = X + 5 	p_8(X) = X + 7 	p_9(X) = X + 8 	p_10(X) = X + 9 
Function: EA43F289B2271E651CB3C4B92E177159E5C1386B4DA581DD9B49451F03B70000 nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_1(X) = X 	p_2(X) = X + 1 	p_3(X) = X + 2 	p_5(X) = X + 4 	p_6(X) = X + 5 	p_8(X) = X + 7 	p_9(X) = X + 8 	p_10(X) = X + 9 
Function: CA47728BB03716E55C93E4392F157951A7C12C6BC9A590DD9B29454F03BB0000 nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_1(X) = X 	p_2(X) = X + 1 	p_4(X) = X + 3 	p_5(X) = X + 4 	p_6(X) = X + 5 	p_8(X) = X + 7 	p_9(X) = X + 8 	p_10(X) = X + 9 
Function: 6A47B28B92370EE554B3E0B92D177859E7413C2BCD8591CD9B61455B03BD0000 nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_1(X) = X 	p_3(X) = X + 2 	p_4(X) = X + 3 	p_5(X) = X + 4 	p_6(X) = X + 5 	p_8(X) = X + 7 	p_9(X) = X + 8 	p_10(X) = X + 9 
Function: EA46F28AB2361EE45CB2E4B82F167958E7C03C6ACDA491DC9B68455E03BE0000 nl: 120 deg: 4 2-Rank: 30 Polynomials list:	p_2(X) = X + 1 	p_3(X) = X + 2 	p_4(X) = X + 3 	p_5(X) = X + 4 	p_6(X) = X + 5 	p_8(X) = X + 7 	p_9(X) = X + 8 	p_10(X) = X + 9 
Function: E817D287A3355CC5D8B1A6A9271B393966C314EBED2199550F69505F03CF0000 nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_1(X) = X 	p_2(X) = X + 1 	p_3(X) = X + 2 	p_4(X) = X + 3 	p_7(X) = X + 6 	p_8(X) = X + 7 	p_9(X) = X + 8 	p_10(X) = X + 9 
Function: EA13F285A3275C659CB1C6A9261F3179E4C318EB6DA1895D1F49511F03D70000 nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_1(X) = X 	p_2(X) = X + 1 	p_3(X) = X + 2 	p_5(X) = X + 4 	p_7(X) = X + 6 	p_8(X) = X + 7 	p_9(X) = X + 8 	p_10(X) = X + 9 
Function: CA177287A13754E5DC91E629271D3971A6C30CEBE9A1985D1F29514F03DB0000 nl: 120 deg: 4 2-Rank: 30 Polynomials list:	p_1(X) = X 	p_2(X) = X + 1 	p_4(X) = X + 3 	p_5(X) = X + 4 	p_7(X) = X + 6 	p_8(X) = X + 7 	p_9(X) = X + 8 	p_10(X) = X + 9 
Function: 6A17B28783374CE5D4B1E2A9251F3879E6431CABED81994D1F61515B03DD0000 nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_1(X) = X 	p_3(X) = X + 2 	p_4(X) = X + 3 	p_5(X) = X + 4 	p_7(X) = X + 6 	p_8(X) = X + 7 	p_9(X) = X + 8 	p_10(X) = X + 9 
Function: EA16F286A3365CE4DCB0E6A8271E3978E6C21CEAEDA0995C1F68515E03DE0000 nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_2(X) = X + 1 	p_3(X) = X + 2 	p_4(X) = X + 3 	p_5(X) = X + 4 	p_7(X) = X + 6 	p_8(X) = X + 7 	p_9(X) = X + 8 	p_10(X) = X + 9 
Function: E853D28DB3255E4598B386B92E1B713965C330EB6D2589D58F49541F03E70000 nl: 120 deg: 4 2-Rank: 30 Polynomials list:	p_1(X) = X 	p_2(X) = X + 1 	p_3(X) = X + 2 	p_6(X) = X + 5 	p_7(X) = X + 6 	p_8(X) = X + 7 	p_9(X) = X + 8 	p_10(X) = X + 9 
Function: C857528FB13556C5D893A6392F19793127C324EBE92598D58F29544F03EB0000 nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_1(X) = X 	p_2(X) = X + 1 	p_4(X) = X + 3 	p_6(X) = X + 5 	p_7(X) = X + 6 	p_8(X) = X + 7 	p_9(X) = X + 8 	p_10(X) = X + 9 
